1	2.90347e+07				1	2.90456e+07				1	2.90469e+07				1	2.90063e+07				1	2.90436e+07				1	2.89482e+07				1	2.90447e+07				1	2.90553e+07				1	2.87881e+07				1	2.90521e+07				
2	1.5103e+07				2	1.51476e+07				2	1.02647e+07				2	4.58573e+06				2	5.11315e+06				2	6.70716e+06				2	1.23072e+07				2	1.2388e+07				2	1.22913e+07				2	1.22664e+07				
4	1.10449e+07				4	9.73894e+06				4	7.44204e+06				4	4.59043e+06				4	4.6394e+06				4	2.27345e+06				4	4.33724e+06				4	4.21438e+06				4	4.53101e+06				4	4.4771e+06				
8	1.05192e+07				8	1.08804e+07				8	7.73353e+06				8	4.71209e+06				8	4.31181e+06				8	2.29854e+06				8	1.47991e+06				8	1.48298e+06				8	1.50226e+06				8	1.36555e+06				
16	9.17194e+06				16	1.00995e+07				16	6.78924e+06				16	4.11012e+06				16	3.83387e+06				16	2.46935e+06				16	622951				16	700582				16	680571				16	633315				
32	1.89556e+08				32	1.83451e+08				32	1.87085e+08				32	6.04658e+07				32	3.40894e+07				32	5.45658e+06				32	1.1909e+06				32	732118				32	701687				32	695282				
64	9.55127e+07				64	9.9201e+07				64	9.8271e+07				64	6.95136e+07				64	5.55873e+07				64	1.28088e+07				64	3.56012e+06				64	2.88373e+06				64	2.81894e+06				64	2.82454e+06				
96	9.43004e+07				96	9.79061e+07				96	9.37035e+07				96	8.38118e+07				96	7.14969e+07				96	1.86568e+07				96	4.49675e+06				96	2.96499e+06				96	2.88506e+06				96	2.81231e+06				
192	1.2394e+08				192	1.31069e+08				192	1.29909e+08				192	1.18426e+08				192	1.0174e+08				192	3.67801e+07				192	5.80914e+06				192	2.94464e+06				192	2.76138e+06				192	2.6902e+06				
288	1.39473e+08				288	1.3554e+08				288	1.40166e+08				288	1.29361e+08				288	1.25373e+08				288	6.0969e+07				288	6.92474e+06				288	2.96984e+06				288	2.67544e+06				288	2.58649e+06				
576	1.84768e+08				576	1.88311e+08				576	1.8555e+08				576	1.67889e+08				576	1.56726e+08				576	1.22903e+08				576	1.21375e+07				576	3.2244e+06				576	2.37255e+06				576	2.37091e+06				
